"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"Upper West Side","Manhattan","Private room",68,30,3
"Williamsburg","Brooklyn","Entire home/apt",110,30,2
"Williamsburg","Brooklyn","Entire home/apt",269,30,1
"Far Rockaway","Queens","Private room",43,6,4
"Canarsie","Brooklyn","Entire home/apt",182,2,328
"Park Slope","Brooklyn","Entire home/apt",255,30,9
"Williamsburg","Brooklyn","Entire home/apt",197,30,4
"Bayswater","Queens","Entire home/apt",100,2,12
"Crown Heights","Brooklyn","Entire home/apt",178,1,11
"Gravesend","Brooklyn","Shared room",22,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",64,1,203
"Harlem","Manhattan","Private room",65,30,0
"Woodside","Queens","Private room",37,30,3
"East Village","Manhattan","Private room",115,30,0
"Upper East Side","Manhattan","Entire home/apt",105,30,7
"Grant City","Staten Island","Entire home/apt",118,5,109
"Williamsburg","Brooklyn","Private room",70,14,4
"Gramercy","Manhattan","Entire home/apt",64,30,20
"Clinton Hill","Brooklyn","Entire home/apt",150,3,0
"Upper East Side","Manhattan","Private room",80,30,0
"Upper East Side","Manhattan","Entire home/apt",209,30,2
"Astoria","Queens","Private room",69,365,23
"Morningside Heights","Manhattan","Entire home/apt",110,30,3
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",259,30,43
"Chinatown","Manhattan","Private room",103,7,34
"Greenpoint","Brooklyn","Private room",48,30,0
"Tribeca","Manhattan","Entire home/apt",190,3,1
"East Harlem","Manhattan","Private room",85,30,21
"Financial District","Manhattan","Private room",125,4,152
"Tribeca","Manhattan","Entire home/apt",370,5,2
"Bedford-Stuyvesant","Brooklyn","Private room",35,3,1
"Upper East Side","Manhattan","Entire home/apt",100,30,5
"Chinatown","Manhattan","Entire home/apt",99,14,15
"Gramercy","Manhattan","Entire home/apt",295,2,7
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",112,30,47
"Upper East Side","Manhattan","Entire home/apt",200,3,5
"Williamsburg","Brooklyn","Private room",53,30,1
"East Village","Manhattan","Entire home/apt",80,30,1
"Hell's Kitchen","Manhattan","Entire home/apt",189,2,63
"Midtown","Manhattan","Private room",91,1,0
"Upper West Side","Manhattan","Entire home/apt",475,4,14
"Richmond Hill","Queens","Private room",36,1,160
"Flatbush","Brooklyn","Private room",70,3,0
"Woodside","Queens","Private room",35,30,0
"Astoria","Queens","Private room",68,30,21
"Harlem","Manhattan","Entire home/apt",180,1,251
"Morningside Heights","Manhattan","Private room",200,30,1
"East Village","Manhattan","Entire home/apt",175,4,100
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",95,30,5
"Battery Park City","Manhattan","Private room",94,1,0
"College Point","Queens","Private room",60,30,1
"Nolita","Manhattan","Entire home/apt",157,30,3
"Williamsburg","Brooklyn","Entire home/apt",140,30,0
"Harlem","Manhattan","Private room",70,1,19
"Prospect Heights","Brooklyn","Private room",50,30,0
"Gravesend","Brooklyn","Entire home/apt",200,30,0
"Bushwick","Brooklyn","Private room",95,30,12
"Greenpoint","Brooklyn","Private room",123,1,12
"Williamsburg","Brooklyn","Private room",55,30,2
"West Village","Manhattan","Entire home/apt",180,30,5
"West Village","Manhattan","Hotel room",275,1,3
"Bushwick","Brooklyn","Private room",29,30,4
"Williamsburg","Brooklyn","Private room",88,30,7
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",110,30,40
"Upper West Side","Manhattan","Entire home/apt",200,30,0
"Woodside","Queens","Private room",46,30,1
"Bushwick","Brooklyn","Entire home/apt",150,30,33
"Jamaica Hills","Queens","Private room",35,30,0
"Flatiron District","Manhattan","Entire home/apt",179,30,0
"Washington Heights","Manhattan","Entire home/apt",102,2,84
"Little Italy","Manhattan","Entire home/apt",150,30,11
"Greenpoint","Brooklyn","Private room",40,30,0
"Upper East Side","Manhattan","Entire home/apt",980,30,1
"Battery Park City","Manhattan","Entire home/apt",300,180,0
"Elmhurst","Queens","Entire home/apt",225,30,5
"South Slope","Brooklyn","Entire home/apt",95,3,77
"Crown Heights","Brooklyn","Entire home/apt",75,2,16
"Fort Hamilton","Brooklyn","Entire home/apt",140,30,14
"Coney Island","Brooklyn","Entire home/apt",119,4,89
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",70,2,2
"Harlem","Manhattan","Private room",58,30,0
"Clinton Hill","Brooklyn","Private room",86,2,479
"Midtown","Manhattan","Entire home/apt",161,1,0
"Williamsburg","Brooklyn","Entire home/apt",225,2,3
"Williamsburg","Brooklyn","Private room",69,30,0
"East Village","Manhattan","Private room",60,180,0
"Woodside","Queens","Private room",57,30,0
"Harlem","Manhattan","Private room",50,30,0
"Bay Ridge","Brooklyn","Private room",65,30,68
"Theater District","Manhattan","Hotel room",397,1,1
"Claremont Village","Bronx","Private room",38,3,9
"Williamsburg","Brooklyn","Private room",64,30,2
"Greenwich Village","Manhattan","Entire home/apt",99,30,14
"Concourse","Bronx","Private room",90,1,1
"Lower East Side","Manhattan","Private room",145,30,12
"Upper West Side","Manhattan","Entire home/apt",225,30,2
"Williamsburg","Brooklyn","Entire home/apt",79,30,0
"Bushwick","Brooklyn","Entire home/apt",275,30,1
"Chelsea","Manhattan","Entire home/apt",195,365,10
"Bushwick","Brooklyn","Private room",60,2,0
"Little Italy","Manhattan","Entire home/apt",134,30,10
"Astoria","Queens","Private room",47,30,1
"Greenwich Village","Manhattan","Entire home/apt",275,30,0
"Williamsburg","Brooklyn","Entire home/apt",120,30,165
"Kensington","Brooklyn","Private room",35,30,1
"Flushing","Queens","Private room",45,1,2
"Woodside","Queens","Private room",65,30,8
"East Village","Manhattan","Private room",60,30,1
"Williamsburg","Brooklyn","Entire home/apt",209,3,195
"Bushwick","Brooklyn","Private room",36,30,0
"Crown Heights","Brooklyn","Private room",63,1,135
"Greenwich Village","Manhattan","Entire home/apt",229,30,13
"Bushwick","Brooklyn","Private room",60,3,140
"East Flatbush","Brooklyn","Private room",42,27,16
"Flatbush","Brooklyn","Entire home/apt",75,30,9
"West Village","Manhattan","Private room",100,30,1
"Astoria","Queens","Private room",42,30,158
"Bushwick","Brooklyn","Private room",60,30,4
"Upper East Side","Manhattan","Entire home/apt",185,30,5
"East Flatbush","Brooklyn","Entire home/apt",153,30,271
"Borough Park","Brooklyn","Private room",29,30,9
"Greenpoint","Brooklyn","Private room",52,30,1
"Cobble Hill","Brooklyn","Entire home/apt",150,30,1
"Prospect Heights","Brooklyn","Entire home/apt",85,30,16
"Bushwick","Brooklyn","Entire home/apt",60,30,14
"Midtown","Manhattan","Hotel room",611,1,4
"Bushwick","Brooklyn","Entire home/apt",90,2,21
"East Harlem","Manhattan","Entire home/apt",105,30,43
"Elmhurst","Queens","Private room",39,30,0
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",134,30,2
"Harlem","Manhattan","Entire home/apt",240,30,2
"Upper West Side","Manhattan","Entire home/apt",132,30,0
"Upper East Side","Manhattan","Entire home/apt",150,30,0
"Upper West Side","Manhattan","Entire home/apt",80,30,0
"Greenpoint","Brooklyn","Private room",60,30,0
"Greenpoint","Brooklyn","Entire home/apt",135,2,83
"Bushwick","Brooklyn","Private room",30,1,1
"Flatbush","Brooklyn","Entire home/apt",69,30,4
"Williamsburg","Brooklyn","Private room",50,1,11
"East Village","Manhattan","Entire home/apt",140,30,0
"Flushing","Queens","Private room",45,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",131,5,60
"Arverne","Queens","Private room",105,2,41
"Harlem","Manhattan","Private room",149,30,0
"Brooklyn Heights","Brooklyn","Entire home/apt",200,6,1
"Williamsburg","Brooklyn","Entire home/apt",300,30,1
"Prospect Heights","Brooklyn","Entire home/apt",145,30,5
"Upper East Side","Manhattan","Entire home/apt",117,30,6
"Ridgewood","Queens","Private room",300,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",32,30,2
"Morningside Heights","Manhattan","Entire home/apt",100,30,5
"Rego Park","Queens","Private room",80,30,1
"Theater District","Manhattan","Private room",179,1,0
"Red Hook","Brooklyn","Entire home/apt",110,30,28
"East Village","Manhattan","Private room",50,30,6
"Fort Greene","Brooklyn","Entire home/apt",145,3,39
"Windsor Terrace","Brooklyn","Entire home/apt",177,1,8
"Upper West Side","Manhattan","Entire home/apt",199,3,24
"Williamsburg","Brooklyn","Private room",80,25,9
"Upper West Side","Manhattan","Entire home/apt",100,30,1
"Greenpoint","Brooklyn","Private room",49,30,0
"Sheepshead Bay","Brooklyn","Private room",99,30,0
"Bushwick","Brooklyn","Private room",62,1,5
"Greenpoint","Brooklyn","Entire home/apt",107,7,0
"Upper West Side","Manhattan","Private room",42,30,0
"Midtown","Manhattan","Entire home/apt",271,30,0
"Clinton Hill","Brooklyn","Private room",44,1,146
"Greenpoint","Brooklyn","Entire home/apt",220,30,2
"Bushwick","Brooklyn","Entire home/apt",120,31,0
"Williamsburg","Brooklyn","Entire home/apt",92,30,4
"Greenpoint","Brooklyn","Entire home/apt",275,5,32
"Upper West Side","Manhattan","Entire home/apt",150,1,103
"Gowanus","Brooklyn","Entire home/apt",88,2,0
"Williamsburg","Brooklyn","Entire home/apt",140,7,14
"Chelsea","Manhattan","Entire home/apt",105,30,0
"Washington Heights","Manhattan","Private room",56,31,12
"Canarsie","Brooklyn","Entire home/apt",175,4,0
"Williamsburg","Brooklyn","Entire home/apt",153,5,45
"Astoria","Queens","Private room",65,50,30
"Astoria","Queens","Private room",68,30,3
"Midtown","Manhattan","Entire home/apt",250,30,0
"Ridgewood","Queens","Private room",75,30,0
"Bushwick","Brooklyn","Entire home/apt",116,4,10
"Washington Heights","Manhattan","Entire home/apt",80,30,2
"Bay Ridge","Brooklyn","Shared room",22,30,1
"Greenwich Village","Manhattan","Private room",80,30,34
"Lower East Side","Manhattan","Private room",80,30,0
"Flatbush","Brooklyn","Entire home/apt",320,4,7
"Morningside Heights","Manhattan","Private room",40,2,48
"Hell's Kitchen","Manhattan","Entire home/apt",175,30,69
"Bedford-Stuyvesant","Brooklyn","Private room",35,90,0
"Theater District","Manhattan","Private room",179,1,0
"Greenpoint","Brooklyn","Private room",70,1,11
"Lower East Side","Manhattan","Entire home/apt",150,30,7
"Williamsburg","Brooklyn","Private room",66,30,4
"Astoria","Queens","Private room",55,30,24
"Jackson Heights","Queens","Private room",42,30,0
"Rego Park","Queens","Private room",139,2,7
"Williamsburg","Brooklyn","Entire home/apt",140,30,7
"Greenwich Village","Manhattan","Private room",89,30,9
"Williamsburg","Brooklyn","Entire home/apt",200,30,0
"Crown Heights","Brooklyn","Private room",46,6,76
"East Harlem","Manhattan","Entire home/apt",110,30,3
"Flushing","Queens","Private room",96,30,80
"Morningside Heights","Manhattan","Entire home/apt",180,30,1
"West Village","Manhattan","Entire home/apt",379,30,0
"Allerton","Bronx","Entire home/apt",146,2,56
"Chelsea","Manhattan","Private room",258,1,31
"Williamsburg","Brooklyn","Entire home/apt",450,4,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",138,3,164
"Hell's Kitchen","Manhattan","Entire home/apt",110,31,17
"Long Island City","Queens","Private room",55,1,44
"Financial District","Manhattan","Private room",60,139,1
"Prospect-Lefferts Gardens","Brooklyn","Private room",37,30,2
"Lower East Side","Manhattan","Private room",65,30,0
"Bushwick","Brooklyn","Private room",22,2,1
"Greenwich Village","Manhattan","Entire home/apt",350,30,0
"East Village","Manhattan","Entire home/apt",166,30,7
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,12
"Boerum Hill","Brooklyn","Private room",55,30,1
"East Harlem","Manhattan","Entire home/apt",150,3,0
"East Flatbush","Brooklyn","Private room",55,30,290
"Upper East Side","Manhattan","Entire home/apt",65,3,61
"Bushwick","Brooklyn","Private room",56,30,6
"Bedford-Stuyvesant","Brooklyn","Private room",50,30,2
"Lower East Side","Manhattan","Entire home/apt",89,300,0
"Upper West Side","Manhattan","Entire home/apt",78,30,2
"Bedford-Stuyvesant","Brooklyn","Private room",80,30,0
"Midtown","Manhattan","Hotel room",0,1,221
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",130,4,60
"Upper East Side","Manhattan","Entire home/apt",225,30,2
"Hell's Kitchen","Manhattan","Entire home/apt",355,30,0
"East Village","Manhattan","Entire home/apt",365,5,4
"Cypress Hills","Brooklyn","Private room",80,30,0
"Williamsburg","Brooklyn","Private room",70,30,8
"Ridgewood","Queens","Entire home/apt",79,45,16
"Sheepshead Bay","Brooklyn","Entire home/apt",71,2,5
"Sheepshead Bay","Brooklyn","Entire home/apt",2500,30,0
"Williamsburg","Brooklyn","Private room",40,90,0
"Ditmars Steinway","Queens","Entire home/apt",100,3,17
"Crown Heights","Brooklyn","Private room",53,30,2
"Washington Heights","Manhattan","Private room",175,3,30
"Long Island City","Queens","Private room",60,30,2
"South Slope","Brooklyn","Entire home/apt",145,5,176
"Upper West Side","Manhattan","Entire home/apt",275,3,91
"Williamsburg","Brooklyn","Entire home/apt",325,2,52
"Theater District","Manhattan","Hotel room",101,1,71
"Theater District","Manhattan","Hotel room",502,1,1
"Harlem","Manhattan","Private room",71,1,14
"Upper West Side","Manhattan","Private room",85,3,0
"Bedford-Stuyvesant","Brooklyn","Private room",90,2,9
"Bushwick","Brooklyn","Private room",75,2,1
"SoHo","Manhattan","Entire home/apt",120,30,87
"Bronxdale","Bronx","Private room",69,30,21
"Springfield Gardens","Queens","Entire home/apt",130,7,19
"Upper East Side","Manhattan","Entire home/apt",145,30,13
"Greenpoint","Brooklyn","Entire home/apt",99,1,155
"Lower East Side","Manhattan","Private room",1500,30,0
"Bushwick","Brooklyn","Private room",55,1,13
"Crown Heights","Brooklyn","Private room",53,30,0
"Cobble Hill","Brooklyn","Entire home/apt",260,5,1
"Williamsburg","Brooklyn","Entire home/apt",287,30,41
"Battery Park City","Manhattan","Entire home/apt",150,4,1
"Harlem","Manhattan","Entire home/apt",109,30,1
"Morningside Heights","Manhattan","Entire home/apt",89,2,3
"Corona","Queens","Private room",100,30,5
"University Heights","Bronx","Private room",58,2,132
"Clinton Hill","Brooklyn","Private room",90,3,1
"Gowanus","Brooklyn","Entire home/apt",133,1,16
"Harlem","Manhattan","Entire home/apt",99,2,1
"Sunnyside","Queens","Entire home/apt",101,30,88
"Chelsea","Manhattan","Entire home/apt",200,30,0
"Upper West Side","Manhattan","Private room",99,30,11
"Midtown","Manhattan","Entire home/apt",353,3,41
"Rockaway Beach","Queens","Entire home/apt",236,2,22
"Harlem","Manhattan","Entire home/apt",259,3,169
"Midtown","Manhattan","Shared room",103,4,168
"Williamsburg","Brooklyn","Private room",103,30,1
"Bushwick","Brooklyn","Private room",55,30,1
"Canarsie","Brooklyn","Entire home/apt",180,3,7
"Upper East Side","Manhattan","Private room",62,30,0
"Upper East Side","Manhattan","Entire home/apt",376,30,0
"Nolita","Manhattan","Entire home/apt",147,15,4
"Harlem","Manhattan","Private room",85,2,11
"Prospect Heights","Brooklyn","Entire home/apt",150,31,1
"Upper East Side","Manhattan","Entire home/apt",110,30,6
"Flatbush","Brooklyn","Entire home/apt",85,30,2
"East Village","Manhattan","Entire home/apt",193,30,0
"Harlem","Manhattan","Private room",206,30,3
"Roosevelt Island","Manhattan","Entire home/apt",300,30,3
"Greenpoint","Brooklyn","Entire home/apt",250,30,0
"Midtown","Manhattan","Private room",349,1,0
"Harlem","Manhattan","Entire home/apt",95,4,32
"Upper East Side","Manhattan","Private room",301,30,0
"Upper West Side","Manhattan","Entire home/apt",2500,30,9
"Ditmars Steinway","Queens","Entire home/apt",115,30,0
"Chelsea","Manhattan","Entire home/apt",525,30,0
"Midtown","Manhattan","Entire home/apt",148,30,0
"Bushwick","Brooklyn","Private room",81,2,5
"East Village","Manhattan","Private room",70,30,0
"Midtown","Manhattan","Entire home/apt",435,5,0
"Kips Bay","Manhattan","Entire home/apt",102,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",55,30,18
"Greenpoint","Brooklyn","Entire home/apt",165,30,0
"Upper West Side","Manhattan","Entire home/apt",870,6,5
"Rockaway Beach","Queens","Entire home/apt",164,2,6
"Greenpoint","Brooklyn","Entire home/apt",369,30,1
"Midtown","Manhattan","Entire home/apt",420,1,0
"Fort Hamilton","Brooklyn","Entire home/apt",140,4,0
"Chelsea","Manhattan","Entire home/apt",152,2,326
"Harlem","Manhattan","Private room",39,30,3
"Crown Heights","Brooklyn","Entire home/apt",87,3,103
"Harlem","Manhattan","Entire home/apt",100,30,16
"Harlem","Manhattan","Entire home/apt",93,30,1
"Bushwick","Brooklyn","Entire home/apt",134,2,43
"Greenpoint","Brooklyn","Entire home/apt",120,30,0
"Harlem","Manhattan","Private room",85,30,19
"Tribeca","Manhattan","Entire home/apt",800,2,7
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",135,5,127
"Williamsburg","Brooklyn","Entire home/apt",250,30,56
"Prospect Heights","Brooklyn","Entire home/apt",165,30,13
"Harlem","Manhattan","Entire home/apt",172,5,8
"West Village","Manhattan","Entire home/apt",350,2,34
"Williamsburg","Brooklyn","Entire home/apt",215,30,1
"Williamsburg","Brooklyn","Entire home/apt",180,2,47
"Inwood","Manhattan","Private room",45,30,36
"Williamsburg","Brooklyn","Private room",87,1,2
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",67,30,55
"Upper West Side","Manhattan","Entire home/apt",229,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",750,1,0
"West Village","Manhattan","Entire home/apt",500,30,3
"Clinton Hill","Brooklyn","Private room",50,30,4
"Midtown","Manhattan","Entire home/apt",170,30,2
"Murray Hill","Manhattan","Entire home/apt",115,30,0
"Williamsburg","Brooklyn","Private room",39,1,21
"Bedford-Stuyvesant","Brooklyn","Private room",47,30,1
"Jamaica Estates","Queens","Private room",382,1,359
"Fordham","Bronx","Private room",70,7,21
"Bushwick","Brooklyn","Private room",75,30,0
"Clinton Hill","Brooklyn","Entire home/apt",100,30,1
"Williamsburg","Brooklyn","Private room",73,2,69
"Midtown","Manhattan","Private room",230,2,0
"Williamsburg","Brooklyn","Hotel room",0,1,0
"Crown Heights","Brooklyn","Entire home/apt",100,30,3
"Williamsburg","Brooklyn","Private room",99,3,25
"Richmond Hill","Queens","Private room",43,30,0
"Woodside","Queens","Private room",29,30,0
"Flushing","Queens","Private room",120,30,0
"Red Hook","Brooklyn","Entire home/apt",84,7,5
"Upper West Side","Manhattan","Entire home/apt",200,30,0
"Upper West Side","Manhattan","Entire home/apt",109,30,15
"Park Slope","Brooklyn","Entire home/apt",200,30,24
"East Flatbush","Brooklyn","Entire home/apt",169,2,30
"Maspeth","Queens","Entire home/apt",90,1,188
"Harlem","Manhattan","Private room",55,30,149
"Astoria","Queens","Private room",82,30,197
"Harlem","Manhattan","Entire home/apt",189,14,6
"St. George","Staten Island","Entire home/apt",93,2,40
"Park Slope","Brooklyn","Private room",60,30,1
"East New York","Brooklyn","Private room",33,30,121
"Harlem","Manhattan","Entire home/apt",150,30,1
"Theater District","Manhattan","Private room",178,1,7
"Upper West Side","Manhattan","Entire home/apt",175,3,6
"Bushwick","Brooklyn","Private room",90,5,129
"Arverne","Queens","Entire home/apt",207,2,252
"Flatbush","Brooklyn","Entire home/apt",150,30,1
"Flatlands","Brooklyn","Private room",60,30,0
"Longwood","Bronx","Entire home/apt",220,1,15
"Upper East Side","Manhattan","Entire home/apt",200,30,13
"Prospect Heights","Brooklyn","Entire home/apt",225,30,0
"Chinatown","Manhattan","Entire home/apt",140,31,0
"Hell's Kitchen","Manhattan","Entire home/apt",389,30,1
"Bushwick","Brooklyn","Private room",81,3,12
"Upper East Side","Manhattan","Entire home/apt",160,30,1
"Chelsea","Manhattan","Shared room",49,30,7
"Upper West Side","Manhattan","Private room",150,30,175
"DUMBO","Brooklyn","Entire home/apt",150,30,1
"Bushwick","Brooklyn","Private room",45,60,0
"Financial District","Manhattan","Private room",163,1,39
"Bushwick","Brooklyn","Entire home/apt",93,30,0
"Gramercy","Manhattan","Entire home/apt",155,30,17
"Upper West Side","Manhattan","Entire home/apt",200,30,3
"Bushwick","Brooklyn","Entire home/apt",120,30,4
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",156,30,18
"Greenpoint","Brooklyn","Private room",52,30,0
"Lower East Side","Manhattan","Entire home/apt",165,3,3
"Lower East Side","Manhattan","Private room",57,30,2
"Gravesend","Brooklyn","Private room",149,1,25
"Jamaica","Queens","Entire home/apt",175,1,6
"Theater District","Manhattan","Private room",140,30,0
"Murray Hill","Manhattan","Entire home/apt",110,30,11
"Upper East Side","Manhattan","Private room",150,30,0
"Greenpoint","Brooklyn","Private room",49,30,10
"Astoria","Queens","Entire home/apt",165,30,1
"East Village","Manhattan","Entire home/apt",120,30,2
"Jamaica","Queens","Private room",50,1,177
"East Village","Manhattan","Entire home/apt",110,50,1
"Gowanus","Brooklyn","Entire home/apt",250,5,49
"Astoria","Queens","Private room",57,30,0
"Rego Park","Queens","Private room",48,1,74
"Ditmars Steinway","Queens","Entire home/apt",125,4,0
"Bedford-Stuyvesant","Brooklyn","Private room",90,30,1
"Harlem","Manhattan","Entire home/apt",111,120,0
"Sunnyside","Queens","Entire home/apt",250,30,0
"Harlem","Manhattan","Private room",50,5,14
"Bay Ridge","Brooklyn","Shared room",30,30,0
"Harlem","Manhattan","Private room",150,30,1
"Williamsburg","Brooklyn","Entire home/apt",221,30,13
"Murray Hill","Manhattan","Entire home/apt",144,30,0
"Financial District","Manhattan","Entire home/apt",195,30,0
"Carroll Gardens","Brooklyn","Private room",40,30,0
"Long Island City","Queens","Private room",65,2,35
"Flatbush","Brooklyn","Private room",75,1,0
"Ozone Park","Queens","Private room",200,1,0
"Williamsburg","Brooklyn","Entire home/apt",180,30,0
"Williamsburg","Brooklyn","Private room",59,30,6
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",286,2,0
"Midtown","Manhattan","Hotel room",295,30,5
"Ridgewood","Queens","Private room",60,2,19
"Williamsburg","Brooklyn","Private room",56,30,1
"Williamsburg","Brooklyn","Entire home/apt",201,3,218
"Tribeca","Manhattan","Private room",78,30,0
"Williamsburg","Brooklyn","Entire home/apt",195,9,2
"Bedford-Stuyvesant","Brooklyn","Private room",90,30,2
"Morningside Heights","Manhattan","Entire home/apt",145,3,23
"Lower East Side","Manhattan","Entire home/apt",150,1,2
"Flatlands","Brooklyn","Private room",39,30,0
"Two Bridges","Manhattan","Private room",78,30,7
"Upper West Side","Manhattan","Entire home/apt",500,30,0
"Ridgewood","Queens","Private room",55,30,2
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",645,2,17
"Ridgewood","Queens","Shared room",41,2,0
"Mount Hope","Bronx","Private room",40,14,5
"East Flatbush","Brooklyn","Private room",150,30,0
"Battery Park City","Manhattan","Private room",100,30,4
"Borough Park","Brooklyn","Private room",40,30,26
"Williamsburg","Brooklyn","Entire home/apt",250,30,17
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",300,3,15
"Midtown","Manhattan","Private room",125,30,1
"Hell's Kitchen","Manhattan","Private room",99,2,2
"Midtown","Manhattan","Entire home/apt",275,7,2
"East Village","Manhattan","Private room",80,30,0
"Upper West Side","Manhattan","Private room",180,1,8
"Greenwich Village","Manhattan","Entire home/apt",125,30,9
"Midtown","Manhattan","Entire home/apt",288,30,3
"Long Island City","Queens","Entire home/apt",95,30,3
"Riverdale","Bronx","Entire home/apt",85,30,0
"Harlem","Manhattan","Entire home/apt",125,30,2
"Jackson Heights","Queens","Private room",55,1,300
"East Village","Manhattan","Private room",63,30,1
"East Village","Manhattan","Entire home/apt",200,30,1
"Sunset Park","Brooklyn","Entire home/apt",200,7,0
"Upper East Side","Manhattan","Entire home/apt",25,30,9
"Upper East Side","Manhattan","Entire home/apt",99,30,3
"Washington Heights","Manhattan","Entire home/apt",75,30,6
"Carroll Gardens","Brooklyn","Entire home/apt",120,1,2
"Harlem","Manhattan","Private room",45,30,10
"Upper East Side","Manhattan","Entire home/apt",110,30,10
"Midtown","Manhattan","Entire home/apt",508,30,3
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,30,14
"East Harlem","Manhattan","Entire home/apt",119,30,114
"Chinatown","Manhattan","Entire home/apt",1099,90,0
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",72,30,25
"Bushwick","Brooklyn","Private room",69,5,36
"Williamsburg","Brooklyn","Entire home/apt",180,30,81
"Bedford-Stuyvesant","Brooklyn","Private room",40,1,11
"Mount Hope","Bronx","Private room",40,30,0
"Kensington","Brooklyn","Entire home/apt",281,2,66
"Crown Heights","Brooklyn","Entire home/apt",95,30,0
"East Village","Manhattan","Private room",99,1,13
"Bushwick","Brooklyn","Entire home/apt",100,30,2
"Upper West Side","Manhattan","Private room",250,2,73
"Bushwick","Brooklyn","Private room",59,1,4
"Upper East Side","Manhattan","Entire home/apt",120,30,0
"Theater District","Manhattan","Private room",178,1,6
"Maspeth","Queens","Private room",50,1,383
"Upper East Side","Manhattan","Entire home/apt",100,30,2
"Hell's Kitchen","Manhattan","Private room",250,30,1
"Harlem","Manhattan","Entire home/apt",132,30,70
"Prospect-Lefferts Gardens","Brooklyn","Private room",55,30,30
"East Harlem","Manhattan","Entire home/apt",110,30,1
"Chelsea","Manhattan","Entire home/apt",700,3,0
"Long Island City","Queens","Private room",54,30,1
"Williamsburg","Brooklyn","Private room",45,30,1
"Upper East Side","Manhattan","Entire home/apt",546,2,1
"Fort Greene","Brooklyn","Shared room",140,30,3
"Upper East Side","Manhattan","Entire home/apt",160,30,0
"Gowanus","Brooklyn","Private room",45,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",521,30,5
"Long Island City","Queens","Private room",100,30,8
"Upper East Side","Manhattan","Entire home/apt",118,30,0
"Tribeca","Manhattan","Entire home/apt",139,30,0
"Long Island City","Queens","Shared room",50,1,22
"Long Island City","Queens","Entire home/apt",120,4,31
"Astoria","Queens","Entire home/apt",210,30,0
"Chelsea","Manhattan","Entire home/apt",105,30,0
"East Village","Manhattan","Entire home/apt",93,30,3
"Bushwick","Brooklyn","Entire home/apt",65,1,29
"Upper West Side","Manhattan","Private room",64,30,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",160,3,41
"Bushwick","Brooklyn","Entire home/apt",286,5,1
"Cambria Heights","Queens","Private room",80,30,30
"Harlem","Manhattan","Private room",74,30,1
"Harlem","Manhattan","Entire home/apt",125,30,24
"Harlem","Manhattan","Entire home/apt",98,30,1
"Elmhurst","Queens","Private room",59,3,24
"Williamsburg","Brooklyn","Private room",69,2,64
"Kew Gardens","Queens","Private room",80,30,0
"Fort Greene","Brooklyn","Entire home/apt",91,60,3
"Fort Greene","Brooklyn","Entire home/apt",129,31,8
"Flushing","Queens","Entire home/apt",436,3,15
"Upper West Side","Manhattan","Private room",48,2,7
"East Flatbush","Brooklyn","Entire home/apt",118,2,9
"Manhattan Beach","Brooklyn","Entire home/apt",101,3,44
"Theater District","Manhattan","Private room",349,1,0
"Astoria","Queens","Private room",48,2,1
"Chelsea","Manhattan","Entire home/apt",210,90,0
"Astoria","Queens","Entire home/apt",73,1,2
"Upper East Side","Manhattan","Private room",57,30,4
"Midtown","Manhattan","Private room",115,30,15
"Washington Heights","Manhattan","Private room",40,30,6
"Williamsburg","Brooklyn","Entire home/apt",220,30,4
"Hell's Kitchen","Manhattan","Private room",70,30,0
"Jackson Heights","Queens","Private room",37,30,1
"Upper East Side","Manhattan","Entire home/apt",100,2,2
"East Village","Manhattan","Private room",70,30,0
"East Harlem","Manhattan","Private room",50,30,0
"Harlem","Manhattan","Entire home/apt",70,30,6
"Upper West Side","Manhattan","Entire home/apt",1000,30,0
"Gowanus","Brooklyn","Entire home/apt",321,30,2
"Bedford-Stuyvesant","Brooklyn","Private room",51,30,2
"Hell's Kitchen","Manhattan","Entire home/apt",100,31,9
